time,euler_energy,euler_energy_drift,euler_separation_drift,verlet_energy,verlet_energy_drift,verlet_separation_drift
4.8,-0.490751904965,0.0184952085662,0.0179702748061,-0.4999995,2.56350752737e-13,2.49679003472e-07
4.9,-0.49056560829,0.0188678022884,0.0180892369179,-0.4999995,4.1067190748e-13,4.03545711958e-07
5,-0.490379382758,0.0192402537246,0.0182297425095,-0.4999995,5.97411606962e-13,5.89288205788e-07
5.1,-0.490193248008,0.0196125235969,0.018396423477,-0.4999995,8.10019528785e-13,8.0319780138e-07
5.2,-0.490007227258,0.0199845654702,0.0185934084618,-0.4999995,1.04849567295e-12,1.04100341325e-06
5.3,-0.489821346835,0.0203563266863,0.01882424382,-0.4999995,1.30362517914e-12,1.29795683623e-06
5.4,-0.489635635651,0.0207277494271,0.0190918258894,-0.4999995,1.57518600252e-12,1.56892755343e-06
5.5,-0.489450124608,0.0210987718837,0.0193983459703,-0.499999499999,1.8557396414e-12,1.8485051767e-06
5.6,-0.489264845981,0.0214693295079,0.0197452491731,-0.499999499999,2.13829168372e-12,2.13110747449e-06
5.7,-0.489079832762,0.0218393563168,0.0201332079823,-0.499999499999,2.41629180708e-12,2.41109183352e-06
5.8,-0.488895117993,0.0222087862226,0.0205621110625,-0.499999499999,2.68718649599e-12,2.68286792071e-06
5.9,-0.488710734111,0.0225775543573,0.0210310674885,-0.499999499999,2.94564667458e-12,2.94100930387e-06
6,-0.488526712292,0.0229455983624,0.021538426238,-0.499999499999,3.18545508771e-12,3.18036179614e-06
6.1,-0.488343081849,0.0233128596163,0.0220818104448,-0.499999499999,3.40006141297e-12,3.39614636635e-06
6.2,-0.488159869654,0.0236792843713,0.0226581655887,-0.499999499999,3.58935462797e-12,3.58405455936e-06
6.3,-0.487977099633,0.0240448247789,0.0232638205008,-0.499999499999,3.74678441029e-12,3.74033451611e-06
6.4,-0.487794792314,0.0244094397814,0.0238945598059,-0.499999499998,3.86757679616e-12,3.86186588419e-06
6.5,-0.487612964459,0.024773095855,0.0245457062028,-0.499999499998,3.95228689765e-12,3.94622211841e-06
6.6,-0.487431628772,0.0251357675926,0.0252122108113,-0.499999499998,3.9963627958e-12,3.99171892962e-06
6.7,-0.48725079369,0.0254974381172,0.0258887496919,-0.499999499998,4.00402334233e-12,3.99744791091e-06
6.8,-0.487070463267,0.0258580993255,0.0265698245729,-0.499999499998,3.96860719243e-12,3.96329467489e-06
6.9,-0.48689063713,0.0262177519585,0.0272498657881,-0.499999499998,3.89411115298e-12,3.88994113876e-06
7,-0.486711310535,0.0265764055075,0.0279233354541,-0.499999499998,3.78342180674e-12,3.77885190694e-06
7.1,-0.486532474488,0.0269340779598,0.02858482897,-0.499999499999,3.63776040024e-12,3.63224503386e-06
7.2,-0.486354115948,0.0272907953956,0.0292291730189,-0.499999499999,3.45746000075e-12,3.45304773175e-06
7.3,-0.486176218099,0.0276465914487,0.0298515183744,-0.499999499999,3.25051422201e-12,3.24483793435e-06
7.4,-0.485998760679,0.0280015066441,0.0304474259613,-0.499999499999,3.0165899968e-12,3.01177285333e-06
7.5,-0.485821720364,0.0283555876279,0.0310129447827,-0.499999499999,2.76234866992e-12,2.75850598008e-06
7.6,-0.485645071201,0.0287088863068,0.0315446805057,-0.499999499999,2.4937854517e-12,2.49009417241e-06
7.7,-0.485468785076,0.0290614589106,0.0320398536791,-0.499999499999,2.21545226109e-12,2.21189668759e-06
7.8,-0.485292832208,0.0294133649971,0.0324963467476,-0.499999499999,1.93256715153e-12,1.9294681779e-06
7.9,-0.485117181675,0.0297646664145,0.0329127392162,-0.4999995,1.65290169196e-12,1.6484477845e-06
8,-0.48494180194,0.0301154262368,0.0332883305091,-0.4999995,1.37778815135e-12,1.37444654191e-06
8.1,-0.484766661388,0.0304657076904,0.0336231502543,-0.4999995,1.11577525552e-12,1.11293534655e-06
8.2,-0.484591728866,0.0308155730844,0.0339179559123,-0.4999995,8.73302304472e-13,8.69135716064e-07
8.3,-0.484416974201,0.0311650827633,0.0341742178488,-0.4999995,6.51035432675e-13,6.4791553589e-07
8.4,-0.48424236871,0.0315142940943,0.0343940921316,-0.4999995,4.56635186663e-13,4.5369185786e-07
8.5,-0.484067885679,0.0318632605055,0.0345803815114,-0.4999995,2.92099969879e-13,2.90342706766e-07
8.6,-0.483893500812,0.0322120305888,0.0347364852163,-0.4999995,1.61870678861e-13,1.6112964496e-07
8.7,-0.48371919264,0.0325606472816,0.0348663383667,-0.4999995,6.9833098082e-14,6.86326480093e-08
8.8,-0.483544942885,0.03290914714,0.0349743419776,-0.4999995,1.45439361665e-14,1.46985887906e-08
8.9,-0.483370736771,0.0332575597171,0.0350652846786,-0.4999995,4.44089653939e-16,4.04361877315e-10
9,-0.483196563275,0.0336059070575,0.0351442574327,-0.4999995,2.40918637262e-14,2.60353778536e-08
